task,policy,queries,mean_quality,mean_cost,mean_utility,delta_utility_vs_fixed,delta_vs_fixed_ci_low,delta_vs_fixed_ci_high,delta_vs_fixed_p,components,action_counts,monte_carlo_mean_utility,monte_carlo_sd_utility
structured_v2,uniform_random_analytic,2000,0.8326581614671611,0.38400000000000006,0.8019381614671611,-0.09657160345380877,,,,1636,"{""ce"": ""p=0.20000000"", ""full_context"": ""p=0.20000000"", ""one_hop"": ""p=0.20000000"", ""summary"": ""p=0.20000000"", ""two_hop"": ""p=0.20000000""}",0.801978688450313,0.0036952910082984013
musique,fixed,2417,0.527635902279076,0.2774962345763053,0.5054362035129716,0.0,0.0,0.0,1.0,179,"{""V2"": 2417}",,
musique,qpp,2417,0.524946854379979,0.2587596903039537,0.5042460791556628,-0.0011901243573088833,-0.0029689924024553613,0.004665576510088879,0.7427628618569072,179,"{""V0"": 180, ""V2"": 2237}",,
musique,native_adaptive,2417,0.5325823507307741,0.16470170666472253,0.5194062141975964,0.013970010684624702,0.007415743804599142,0.032662011549174884,0.0036998150092495377,179,"{""V0"": 534, ""V1"": 630, ""V2"": 1202, ""V3"": 51}",,
musique,arr_seed_1,2417,0.5299487616144694,0.2267163472262767,0.5118114538363673,0.0063752503233956625,-0.00254629259813413,0.03792894148709819,0.2296885155742213,179,"{""V0"": 633, ""V1"": 589, ""V2"": 910, ""V3"": 285}",,
musique,arr_seed_2,2417,0.520315506282975,0.33365245205879324,0.4936233101182715,-0.011812893394700152,-0.02098917931649324,0.021470094764632453,0.5572721363931803,179,"{""V0"": 838, ""V1"": 268, ""V2"": 711, ""V3"": 600}",,
musique,arr_seed_3,2417,0.524653479200121,0.25166083136292816,0.5045206126910866,-0.0009155908218849687,-0.008723801715036523,0.02208852333299075,0.9257537123143843,179,"{""V0"": 429, ""V1"": 712, ""V2"": 948, ""V3"": 328}",,
musique,arr_seed_4,2417,0.518143011435029,0.41703468191188525,0.4847802368820783,-0.02065596663089325,-0.029156422329935188,0.010717340345778672,0.26288685565721714,179,"{""V0"": 691, ""V1"": 354, ""V2"": 524, ""V3"": 848}",,
musique,arr_seed_5,2417,0.5152651075465837,0.24701240152847326,0.49550411542430584,-0.00993208808866577,-0.018763287133733077,0.021346111508218777,0.5473726313684316,179,"{""V0"": 528, ""V1"": 823, ""V2"": 685, ""V3"": 381}",,
musique,uniform_random_analytic,2417,0.49981696990615615,0.3258004159371344,0.47375293663118534,-0.03168326688178624,,,,179,"{""V0"": ""p=0.25000000"", ""V1"": ""p=0.25000000"", ""V2"": ""p=0.25000000"", ""V3"": ""p=0.25000000""}",0.4734578907344064,0.0032004655403049995
