task,comparison,n,mean_delta_raw_quality,raw_bootstrap_2p5_50_97p5,positive_raw_share,mean_delta_utility,utility_bootstrap_2p5_50_97p5,positive_utility_share
MuSiQue,V2_vs_shuffled_V2,2417,0.353731757236477,"[0.3335392957482608, 0.3552779093250459, 0.4243864930352533]",0.7678940835746794,0.353731757236477,"[0.3335392957482608, 0.3552779093250459, 0.4243864930352533]",0.7678940835746794
MuSiQue,V3_vs_wrong_decomposition_V3,2417,0.07685345571043185,"[0.06613734532135972, 0.07697583353417775, 0.09718868627956982]",0.45014480761274306,0.07685345571043185,"[0.06613734532135972, 0.07697583353417775, 0.09718868627956982]",0.45014480761274306
Structured-v2,full_context_vs_title_only,2000,-0.0479557083162464,"[-0.05909953686250981, -0.048129824642096045, -0.035990647390264946]",0.2475,-0.09195570831624642,"[-0.10309953686250983, -0.09212982464209608, -0.07999064739026499]",0.231
Structured-v2,real_1hop_vs_degree_random_1hop,2000,0.18728343811090006,"[0.1770977523500874, 0.18739621628193473, 0.19799138987481835]",0.5805,0.18728343811090006,"[0.17709775235008737, 0.18739621628193473, 0.19799138987481832]",0.5805
Structured-v2,real_1hop_vs_shuffled_1hop,2000,0.1845749542757212,"[0.1748968956375682, 0.18464073898773195, 0.19561458725904304]",0.5795,0.1845749542757212,"[0.1748968956375682, 0.18464073898773195, 0.19561458725904304]",0.5795
Structured-v2,real_2hop_vs_random_2hop,2000,0.21586131853436333,"[0.20380716112664085, 0.21625226355241117, 0.22784687882988755]",0.593,0.21586131853436333,"[0.20380716112664082, 0.21625226355241117, 0.22784687882988755]",0.593
