regime,role,source_report,adaptive_policy,adaptive_selection,fixed_comparator,fixed_utility_mean_derived,adaptive_utility_mean,oracle_utility_mean,hindsight_headroom,valid_adaptive_recovery,residual_regret,gap_closed_ratio_of_means,gap_closed_mean_of_split_ratios,gap_closed_aggregation_difference,delta_ci95_low,delta_ci95_high,positive_split_share,repeats,claim_status,fixed_utility_mean_dev_selected,fixed_utility_mean_test_hindsight,test_hindsight_fixed_inflation,adaptive_minus_dev_selected_fixed,headroom_from_dev_selected_fixed,gap_closed_from_dev_selected_fixed,baseline_semantics
dense_standard_qrels,weak-signal,provenance://archived-analysis/dense-standard,dev_best_single_model,dev-selected within each repeated split,F_dev = F_TIH (full in 20/20 splits),0.3486277787014842,0.3547857701778412,0.4240728840231895,0.0754451053217053,0.0061579914763569,0.0692871138453483,0.081622146991494,0.0816221520293657,-5.0378717447729934e-09,0.0047454704181291,0.0076201912714168,1.0,20,primary,0.3486277940219843,0.3486277940219843,0.0,0.0061579761558568,0.0754450900012052,0.0816219604981386,F_dev is deployable; F_TIH is a conservative diagnostic comparator selected on test
2wiki_structured_2k,recoverable structured signal,provenance://archived-analysis/structured-learner-sweep,dev_best_single_model,dev-selected within each repeated split,F_TIH (per-split test-best fixed),0.9011163992975892,0.9249557198954412,0.9523985269269948,0.0512821276294056,0.0238393205978518,0.0274428070315537,0.4648660595778831,0.4636353401442522,0.0012307194336309,0.0223085714278127,0.0254304735276126,1.0,20,primary,0.8997112457534346,0.9011163992975848,0.00140515354415,0.0252444741420064,0.0526872811735602,0.4791379167743953,F_dev is deployable; F_TIH is a conservative diagnostic comparator selected on test
2wiki_hyperlink_10k,recoverable structured scale stress,provenance://archived-analysis/hyperlink-learner-sweep,dev_best_single_model,dev-selected within each repeated split,F_TIH (per-split test-best fixed),0.7937038760211286,0.8248826343404139,0.8849458200983156,0.091241944077187,0.0311787583192852,0.0600631857579017,0.3417151906902519,0.3419452100541481,-0.0002300193638961,0.0296826418045983,0.0322672948530054,1.0,10,scale stress,0.7929000444575318,0.7937038760211246,0.0008038315635927,0.031982589882882,0.0920457756407837,0.3474639619279949,F_dev is deployable; F_TIH is a conservative diagnostic comparator selected on test
