menu,policy,mix,matching,net_delta_u
3,ExtraTrees-3,-0.01950247686159623,0.03119348301286362,0.011691006151267403
3,QPP-3,-0.02587321115903185,0.03146030451666071,0.005587093357628911
3,ARR-3,-0.06034597357367011,0.02028335042630014,-0.040062623147370094
5,ExtraTrees-5,-0.020414902735221285,0.03155627487539803,0.011141372140176757
5,QPP-5,-0.02587321115903185,0.03146030451666071,0.005587093357628911
5,ARR-5,-0.0836162673763502,0.025450630238320393,-0.05816563713802974
